# folder, file_index, meas_index, Unix_time_NZ, GPS_lon, GPS_lat, snow_depth
20231116_S01_to_S02, 1, 1000, 1700098391.8689866, 166.85270354026727, -77.87236963335748
20231116_S01_to_S02, 1, 1001, 1700098391.9692376, 166.85269804178648, -77.87237250285673
20231116_S01_to_S02, 1, 1002, 1700098392.069486, 166.85269121567322, -77.87237420345498
20231116_S01_to_S02, 1, 1003, 1700098392.169733, 166.85268375576516, -77.87237496875555
20231116_S01_to_S02, 1, 1004, 1700098392.2699802, 166.852676355831, -77.87237503229217
20231116_S01_to_S02, 1, 1005, 1700098392.3702385, 166.8526697090394, -77.87237462750917
20231116_S01_to_S02, 1, 1006, 1700098392.4861016, 166.85266387623759, -77.87237388238582
20231116_S01_to_S02, 1, 1007, 1700098392.5863485, 166.85266121563086, -77.87237326251771
20231116_S01_to_S02, 1, 1008, 1700098392.6865969, 166.85266149854536, -77.87237291131049
20231116_S01_to_S02, 1, 1009, 1700098392.786844, 166.85266541883385, -77.87237306228347
20231116_S01_to_S02, 1, 1010, 1700098392.8870919, 166.85267359922017, -77.87237392743089
20231116_S01_to_S02, 1, 1011, 1700098392.9873512, 166.85268549978267, -77.87237536705088
20231116_S01_to_S02, 1, 1012, 1700098393.1032135, 166.8527019292311, -77.87237718609404
20231116_S01_to_S02, 1, 1013, 1700098393.2034626, 166.8527167385202, -77.87237840082935
20231116_S01_to_S02, 1, 1014, 1700098393.303709, 166.8527305007067, -77.87237882440287
20231116_S01_to_S02, 1, 1015, 1700098393.4039574, 166.8527416976293, -77.87237802152195
20231116_S01_to_S02, 1, 1016, 1700098393.5042064, 166.8527488102292, -77.87237555681891
20231116_S01_to_S02, 1, 1017, 1700098393.6044686, 166.85275031933284, -77.87237099420615
20231116_S01_to_S02, 1, 1018, 1700098393.7203326, 166.85274309178297, -77.87236253829063
20231116_S01_to_S02, 1, 1019, 1700098393.8205826, 166.85272735395458, -77.87235197410885
20231116_S01_to_S02, 1, 1020, 1700098393.9273345, 166.85269912920162, -77.87233689833181
20231116_S01_to_S02, 1, 1021, 1700098394.0275834, 166.85266025417232, -77.87231868845188
20231116_S01_to_S02, 1, 1022, 1700098394.1278498, 166.8526078681356, -77.87229611355357
20231116_S01_to_S02, 1, 1023, 1700098394.228118, 166.8525430097105, -77.87226947602797
20231116_S01_to_S02, 1, 1024, 1700098394.3283665, 166.85247101762283, -77.87224031764946
20231116_S01_to_S02, 1, 1025, 1700098394.4286246, 166.8523976111229, -77.8722102856188
20231116_S01_to_S02, 1, 1026, 1700098394.5445213, 166.85231852398164, -77.87217665380327
20231116_S01_to_S02, 1, 1027, 1700098394.6447687, 166.85226161347725, -77.87215037831415
20231116_S01_to_S02, 1, 1028, 1700098394.7450185, 166.85222140349444, -77.87212845457144
20231116_S01_to_S02, 1, 1029, 1700098394.845265, 166.85220362212743, -77.87211253544316
20231116_S01_to_S02, 1, 1030, 1700098394.9455218, 166.85221115951796, -77.87210349138513
